,COUNTY,CENTER,PHONE,AGES,CAPACITY,CITY,ADDR1,ADDR2,ZIP,ESRI_Review_Needed,ESRI_Lon,ESRI_Lat,ESRI_Match_Score,ESRI_Match_Type,ESRI_Match_Address
0,Passaic,El Mundo De Colore/World of Colors,973-523-0919,2½ to 6,154,Paterson,44 Ward Street,,07501,0,-74.174210966646,40.914089982823,100,PointAddress,"44 Ward St, Paterson, NJ, 07501, USA"
1,Passaic,El Mundo Del Nino/A Child's World,973-279-7100,2½ to 6,116,Paterson,433 Main Street,,07501,0,-74.171622970221,40.910830009221,100,PointAddress,"433 Main St, Paterson, NJ, 07501, USA"
2,Hudson,Concordia Learning Center,201-876-5432,2½ to 6,120,Jersey City,761 Summit Ave.,,07307,0,-74.057061967467,40.740990983667,100,PointAddress,"761 Summit Ave, Jersey City, NJ, 07307, USA"
3,Mercer,The Children's Home Society of NJ Afterschool Program,609-695-6274,6 to 13,180,Trenton,1300 Stuyvesant Avenue,,08618,0,-74.791443000916,40.241796011218,100,PointAddress,"1300 Stuyvesant Ave, Trenton, NJ, 08618, USA"
4,Burlington,Willingboro BOE at Hawthorne School,609-835-8600,2½ to 13,60,Willingboro,84 Hampshire Lane,,08046,0,-74.871458995562,40.036256993206,100,PointAddress,"84 Hampshire Ln, Willingboro, NJ, 08046, USA"
5,Burlington,Willingboro BOE at Levitt School,609-835-8600,2½ to 13,31,Willingboro,50 Rev. Dr. Martin Luther King,,08046,0,-74.894432031966,40.027752001783,98.51,PointAddress,"50 Rev Dr Martin Luther King Jr Dr, Willingboro, NJ, 08046, USA"
6,Burlington,Willingboro BOE at J C Stuart School,609-835-8600,2½ to 13,60,Willingboro,70 Sunset Road,,08046,0,-74.897829971694,40.045774979538,100,PointAddress,"70 Sunset Rd, Willingboro, NJ, 08046, USA"
7,Burlington,Willingboro BOE at W R James School,609-835-8600,2½ to 13,60,Willingboro,41 Pinetree Lane,,08046,0,-74.900225016708,40.032151998036,100,PointAddress,"41 Pinetree Ln, Willingboro, NJ, 08046, USA"
8,Burlington,Willingboro BOE at Twin Hills School,609-835-8600,2½ to 13,156,Willingboro,110 Twin Hills Drive,,08046,0,-74.875928980706,40.006936006251,100,PointAddress,"110 Twin Hill Dr, Willingboro, NJ, 08046, USA"
9,Burlington,Willingboro BOE at Garfield East School,609-835-8600,2½ to 13,111,Willingboro,150 Evergreen Drive,,08046,0,-74.868279991144,40.018776995139,100,PointAddress,"150 Evergreen Dr, Willingboro, NJ, 08046, USA"
10,Essex,Bloomfield Recreation Playgroup,973-680-8530,2½ to 6,150,Bloomfield,280 Davey Street,,07003,0,-74.182329007509,40.805454985614,100,PointAddress,"280 Davey St, Bloomfield, NJ, 07003, USA"
11,Essex,Bloomfield Recreation Station,973-743-9074,6 to 13,180,Bloomfield,465 Broughton Avenue,Demarest Elementary,07003,0,-74.178074018181,40.824507009622,100,PointAddress,"465 Broughton Ave, Bloomfield, NJ, 07003, USA"
12,Somerset,MacAfee Road Elementary C.A.R.E. Program,732-873-2400,6 to 13,100,Somerset,53 Macafee Road,,08873,0,-74.499177017482,40.494733979225,100,PointAddress,"53 Macafee Rd, Somerset, NJ, 08873, USA"
13,Somerset,Elizabeth Avenue Elementary C.A.R.E. Program,732-873-2400,6 to 13,40,Somerset,363 Elizabeth Avenue,,08873,0,-74.533753038633,40.540955020367,100,PointAddress,"363 Elizabeth Ave, Somerset, NJ, 08873, USA"
14,Somerset,Hillcrest Elementary C.A.R.E. Program,732-873-2400,6 to 13,80,Somerset,500 Franklin Blvd.,,08873,0,-74.483068005407,40.492806015766,100,PointAddress,"500 Franklin Blvd, Somerset, NJ, 08873, USA"
15,Somerset,Conerly Road Elementary C.A.R.E. Program,732-873-2400,2½ to 13,100,Somerset,35 Conerly Road,,08873,0,-74.494209985479,40.504879015733,100,PointAddress,"35 Conerly Rd, Somerset, NJ, 08873, USA"
16,Somerset,Pine Grove Elementary C.A.R.E. Program,732-873-2400,6 to 13,50,Somerset,130 Highland Avenue,,08873,0,-74.472316035289,40.498142019146,100,PointAddress,"130 Highland Ave, Somerset, NJ, 08873, USA"
17,Somerset,Sampson A. Smith C.A.R.E. Program,732-873-2400,6 to 13,100,Somerset,1649 Amwell Rd.,,08873,0,-74.519156038072,40.496195992686,100,PointAddress,"1649 Amwell Rd, Somerset, NJ, 08873, USA"
18,Somerset,Franklin Park Elementary C.A.R.E. Program,732-873-2400,2½ to 13,280,Somerset,30 Eden Street,,08873,0,-74.540742037138,40.44299701715,98.7,PointAddress,"30 Eden St, Franklin Park, NJ, 08823, USA"
19,Mercer,Lore Elementary School,609-538-9800,6 to 13,200,Ewing,13 Westwood Dr.,,08628,0,-74.836583991925,40.278023015837,100,PointAddress,"13 Westwood Dr, Ewing, NJ, 08628, USA"
20,Mercer,Parkway Elementary School,609-538-9800,6 to 13,130,Ewing,446 Parkway Avenue,,08618,0,-74.778416014639,40.242090006472,100,PointAddress,"446 Parkway Ave, Ewing, NJ, 08618, USA"
21,Mercer,Fisher Middle School,609-538-9800,6 to 13,50,Ewing,1325 Lower Ferry Road,,08618,0,-74.793673006256,40.273150992707,100,PointAddress,"1325 Lower Ferry Rd, Ewing, NJ, 08618, USA"
22,Mercer,Antheil Elementary School,609-538-9800,6 to 13,139,Ewing,339 Ewingville Rd.,,08638,0,-74.767390040107,40.272587980271,100,PointAddress,"339 Ewingville Rd, Ewing, NJ, 08638, USA"
23,Cumberland,Child Family Center,856-293-2171,2½ to 6,180,Millville,1100 Coombs Road,,08332,0,-75.021530014938,39.414546005155,100,PointAddress,"1100 Coombs Rd, Millville, NJ, 08332, USA"
24,Passaic,Baby Steps Infant/Toddler Child Care Center,973-473-2408,0 to 2½,24,Passaic,185 Paulison Ave,,07055,0,-74.128419037037,40.856037005249,100,PointAddress,"185 Paulison Ave, Passaic, NJ, 07055, USA"
25,Passaic,The Learning Center For Exceptional Children,973-478-4866,2½ to 13,63,Clifton,199 Scoles Ave,,07012,0,-74.155115985384,40.85260801057,100,PointAddress,"199 Scoles Ave, Clifton, NJ, 07012, USA"
26,Camden,Gloucester Twp Schools Loring Flemming Latchkey Program,856-227-1400,6 to 13,200,Gloucester Township,135 Little Gloucester Road,,08012,0,-75.054814971543,39.823838989168,100,PointAddress,"135 Little Gloucester Rd, Blackwood, NJ, 08012, USA"
27,Camden,Gloucester Twp Schools Union Valley Latchkey Program,856-309-1336,6 to 13,100,Sicklerville,1300 Jarvis Road,,08081,0,-74.992409020193,39.771606991892,100,PointAddress,"1300 Jarvis Rd, Sicklerville, NJ, 08081, USA"
28,Camden,Gloucester Twp Schools Blackwood Latchkey Program,856-227-1400,6 to 13,100,Blackwood,260 Blenheim - Erial Road,,08012,0,-75.058763015577,39.804470003491,92.76,PointAddress,"260 Erial Rd, Blackwood, NJ, 08012, USA"
29,Camden,Gloucester Twp Schools Chews Latchkey Program,856-784-1306,6 to 13,100,Somerdale,600 Somerdale Road,,08083,0,-75.025823980116,39.842143012137,99.43,PointAddress,"600 W Somerdale Rd, Somerdale, NJ, 08083, USA"
30,Cumberland,Linda Dechen Early Learning Center,856-453-0803,0 to 13,109,Vineland,237 W Chestnut Ave,,08360,0,-75.03278800055,39.478762992415,100,PointAddress,"237 W Chestnut Ave, Vineland, NJ, 08360, USA"
31,Camden,Gloucester Twp Schools Erial Latchkey Program,856-627-3774,6 to 13,100,Sicklerville,20 Essex Avenue,,08081,0,-75.009054976985,39.770720018898,100,PointAddress,"20 Essex Ave, Sicklerville, NJ, 08081, USA"
32,Camden,Gloucester Twp Schools J W Lilley Latchkey Program,856-740-2987,6 to 13,100,Erial,1275 Williamstown Road,,08081,0,-75.001135000494,39.754895991532,100,PointAddress,"1275 Williamstown Rd, Sicklerville, NJ, 08081, USA"
33,Camden,Gloucester Twp Schools Glendora Latchkey Program,856-939-5253,6 to 13,100,Glendora,201 Station Avenue,,08029,1,-75.068881373193,39.834690583341,100,StreetAddress,"201 Station Ave, Glendora, NJ, 08029, USA"
34,Essex,East Orange YMCA-Bowser After School Program,973-414-4170,6 to 13,158,East Orange,180 Lincoln Street,,07017,0,-74.210584989847,40.771012991094,100,PointAddress,"180 Lincoln St, East Orange, NJ, 07017, USA"
35,Essex,East Orange YMCA After School Enrichment Program,973-673-5588,6 to 13,64,East Orange,98 Greenwood Avenue,,07017,0,-74.200227975007,40.76025301626,100,PointAddress,"98 Greenwood Ave, East Orange, NJ, 07017, USA"
36,Essex,East Orange YMCA - STEM Academy,973-980-1757,6 to 13,100,East Orange,129 Renshaw Avenue,,07017,0,-74.203543017713,40.776869007748,100,PointAddress,"129 Renshaw Ave, East Orange, NJ, 07017, USA"
37,Essex,East Orange YMCA - Sojourner Truth,973-673-5588,6 to 13,100,East Orange,116 Hamilton Street,,07017,0,-74.208077962607,40.772074014308,100,PointAddress,"116 Hamilton St, East Orange, NJ, 07017, USA"
38,Essex,East Orange YMCA/Turrell's Gym,973-673-5588,6 to 13,188,East Orange,159 N Munn Ave,,07017,0,-74.20752199097,40.764134005068,100,PointAddress,"159 N Munn Ave, East Orange, NJ, 07017, USA"
39,Essex,South Mountain YMCA- Seth Boyden School,973-762-0256,6 to 13,72,Maplewood,274 Boyden Avenue,,07040,0,-74.254376997358,40.721510979683,100,PointAddress,"274 Boyden Ave, Maplewood, NJ, 07040, USA"
40,Passaic,Paterson YMCA - Family Services Center,973-684-2320,6 to 13,175,Paterson,128 Ward Street,,07505,1,-74.170181315478,40.914697042072,100,StreetAddress,"128 Ward St, Paterson, NJ, 07505, USA"
41,Passaic,Paterson YMCA Family Friendly Center - School #20,973-684-2320,6 to 13,75,Paterson,500 E 37th Street,,07504-1739,0,-74.140945958971,40.905863019128,100,PointAddress,"500 E 37th St, Paterson, NJ, 07504, USA"
42,Passaic,Paterson YMCA Pre-School,973-684-2320,2½ to 6,104,Paterson,128 Ward Street,,07505,1,-74.170181315478,40.914697042072,100,StreetAddress,"128 Ward St, Paterson, NJ, 07505, USA"
43,Morris,The Salvation Army Day Care Center,973-539-2700,0 to 6,85,Morristown,95 Spring Street,,07960,0,-74.480209022053,40.800959016569,100,PointAddress,"95 Spring St, Morristown, NJ, 07960, USA"
44,Hudson,The Salvation Army Early Childhd Edu Ctr,201-435-7355,0 to 13,125,Jersey City,562 Bergen Avenue,,07304,0,-74.073600971174,40.719677019268,100,PointAddress,"562 Bergen Ave, Jersey City, NJ, 07304, USA"
45,Ocean,The Salvation Army Ocean County Citadel Youth Programs,732-270-8393,6 to 13,75,Toms River,1738 Route 37 E,,08753,1,-74.149657982869,39.951911548943,100,StreetAddress,"1738 Route 37 E, Toms River, NJ, 08753, USA"
